"","x"
"1",-26.3718098877949
"2",-26.3480756668413
"3",-26.3280815345138
"4",-26.3114127399507
"5",-26.2977203555299
"6",-26.2867080463148
"7",-26.278122005251
"8",-26.2717431864946
"9",-26.2673812345867
"10",-26.2648696836613
"11",-26.264062120617
"12",-26.2648290889241
"13",-26.2670555678639
"14",-26.2706389034538
"15",-26.2754870972839
"16",-26.2815173814503
"17",-26.2886550240363
"18",-26.2968323217826
"19",-26.3059877458138
"20",-26.3160652133352
"21",-26.3270134636455
"22",-26.3822891436335
"23",-26.3612944707575
"24",-26.3416869842739
"25",-26.3211951512777
"26",-26.3103684780024
"27",-26.2977015443405
"28",-26.2897764906035
"29",-26.2825328904245
"30",-26.279369880804
"31",-26.2773575823127
"32",-26.2752163892527
"33",-26.2775152691603
"34",-26.2782787010795
"35",-26.2825186964141
"36",-26.287381907569
"37",-26.2924231995954
"38",-26.3009155013702
"39",-26.3100112312546
"40",-26.3169773152381
"41",-26.3288485329541
"42",-26.3383569685996
"43",-26.4260737758279
"44",-26.3923639594449
"45",-26.3780644937467
"46",-26.3639375580631
"47",-26.3471105409945
"48",-26.3363942148361
"49",-26.3255298476218
"50",-26.3183994272296
"51",-26.3134101920788
"52",-26.3118430096214
"53",-26.3136389984894
"54",-26.3083879300591
"55",-26.3128318926067
"56",-26.3194290106663
"57",-26.3224724588794
"58",-26.3312820770396
"59",-26.339350634651
"60",-26.3496328179125
"61",-26.3514345355717
"62",-26.3650434896522
"63",-26.3758929255007
"64",-26.4887587943901
"65",-26.4535114238409
"66",-26.4568862961714
"67",-26.4131193858774
"68",-26.39503461464
"69",-26.3943452326615
"70",-26.387355715572
"71",-26.384003186486
"72",-26.3756260953812
"73",-26.3708359243584
"74",-26.3685739893905
"75",-26.3707833803755
"76",-26.3697265628796
"77",-26.3814285569662
"78",-26.3745928561259
"79",-26.388096006985
"80",-26.396369797402
"81",-26.4078429018041
"82",-26.4167944228977
"83",-26.4228686204812
"84",-26.4315919025351
"85",-26.5446485400888
"86",-26.5333799301035
"87",-26.4942610939215
"88",-26.4910663547012
"89",-26.4847461923377
"90",-26.4809792370309
"91",-26.4705084868006
"92",-26.47877127565
"93",-26.4495830628803
"94",-26.4491645883921
"95",-26.4554989797829
"96",-26.4528942281539
"97",-26.462273596862
"98",-26.4490549890171
"99",-26.4643923289991
"100",-26.4758856101899
"101",-26.4625265797237
"102",-26.4828115277334
"103",-26.4933743502286
"104",-26.5038781050392
"105",-26.5231442213779
"106",-26.6722470414557
"107",-26.6491159332813
"108",-26.6159868286047
"109",-26.6043579631133
"110",-26.6080517565317
"111",-26.5888883594362
"112",-26.5725245938178
"113",-26.5738928069792
"114",-26.5621346604639
