"","x"
"1",-26.3718098877949
"2",-26.3884987178417
"3",-26.4190593014641
"4",-26.4680757894686
"5",-26.5539130263531
"6",-26.6919580878431
"7",-26.802346297381
"8",-26.945980347787
"9",-27.1613079188068
"10",-27.3566471365819
"11",-27.6693153870464
"12",-26.3480756668413
"13",-26.3613475812826
"14",-26.3864797979084
"15",-26.4618715835605
"16",-26.55325749157
"17",-26.6292841441126
"18",-26.8137091620285
"19",-26.8899567901154
"20",-27.1812386534092
"21",-27.392436962932
"22",-27.5540167381778
"23",-26.3280815345138
"24",-26.3395289221769
"25",-26.3718021672973
"26",-26.4342740062445
"27",-26.5222262369866
"28",-26.6367184911243
"29",-26.7622534511991
"30",-26.8798076414155
"31",-27.0976775782076
"32",-27.3748674925867
"33",-27.5071658352639
"34",-26.3114127399507
"35",-26.3227808660233
"36",-26.3574225850525
"37",-26.421161571736
"38",-26.503841526917
"39",-26.6308940373389
"40",-26.7677735101641
"41",-26.9037525993529
"42",-27.0370417299385
"43",-27.3336009999297
"44",-27.5413661297001
"45",-26.2977203555299
"46",-26.3087908873058
"47",-26.3442229207691
"48",-26.3959245868699
"49",-26.4866113710392
"50",-26.5926658063905
"51",-26.7204524593394
"52",-26.895440523627
"53",-27.1021767030971
"54",-27.2350322190681
"55",-27.444906956167
"56",-26.2867080463148
"57",-26.2993771357813
"58",-26.3347529754061
"59",-26.3979943468525
"60",-26.4847284307949
"61",-26.561215040451
"62",-26.7101417794981
"63",-26.8611797609749
"64",-27.0385784465419
"65",-27.2944863535607
"66",-27.5546263904155
"67",-26.278122005251
"68",-26.2908060521174
"69",-26.3270759927105
"70",-26.388137324095
"71",-26.4624934801643
"72",-26.5794962820906
"73",-26.6968293983676
"74",-26.8925586000693
"75",-27.0539260945007
"76",-27.2565220873795
"77",-27.460807834274
"78",-26.2717431864946
"79",-26.2835522431159
"80",-26.3184933197201
"81",-26.3831346802682
"82",-26.4691114131836
"83",-26.566363897655
"84",-26.712948348615
"85",-26.8477980838418
"86",-27.0956147608618
"87",-27.2975684744088
"88",-27.5797627667481
"89",-26.2673812345867
"90",-26.2790986670813
"91",-26.3123378847952
"92",-26.3682451066539
"93",-26.4583945590794
"94",-26.5629661192042
"95",-26.6951798702869
"96",-26.8743651921643
"97",-27.0815444501251
"98",-27.2668456706843
"99",-27.5061484019205
"100",-26.2648696836613
"101",-26.2764276826616
"102",-26.3129241104452
"103",-26.3744751329031
"104",-26.4595685176878
"105",-26.5629244557028
"106",-26.7000877741945
"107",-26.850759108371
"108",-27.0533645661279
"109",-27.273048770605
"110",-27.5037133500996
"111",-26.264062120617
"112",-26.2754746683549
"113",-26.3109316168341
"114",-26.3761320520817
"115",-26.4573199079571
"116",-26.5632840589292
"117",-26.7250341450368
"118",-26.8511103673724
"119",-27.0182084950245
"120",-27.3016703447426
"121",-27.5120141601402
"122",-26.2648290889241
"123",-26.2772275521913
"124",-26.3149166327617
"125",-26.3720318134605
"126",-26.4464961926044
"127",-26.5482616587392
"128",-26.6862193958341
"129",-26.8461548186153
"130",-27.0243631290878
"131",-27.2781614629848
"132",-27.4932429416204
"133",-26.2670555678639
"134",-26.2792415980519
"135",-26.3154177465093
"136",-26.3697747970713
"137",-26.4615731699066
"138",-26.566905615911
"139",-26.6860797825676
"140",-26.8404214765779
"141",-27.049900367785
"142",-27.3268068710718
"143",-27.4685120476866
"144",-26.2706389034538
"145",-26.2810084670497
"146",-26.3185734460062
"147",-26.3785753764396
"148",-26.4562633299829
"149",-26.5631835888037
"150",-26.7191538613368
"151",-26.86170287132
"152",-27.0794002724944
"153",-27.2852041874747
"154",-27.3919478210838
"155",-26.2754870972839
"156",-26.2862029335708
"157",-26.3237167487024
"158",-26.383019231257
"159",-26.4677473688634
"160",-26.5799855291386
"161",-26.6982304348949
"162",-26.8961965623953
"163",-27.050720236366
"164",-27.2943182249116
"165",-27.494563922117
"166",-26.2815173814503
