"","ld2","Var1","Var2","Var3"
"1",1.600924152038,5,-2,0
"2",1.6502351919325,5.25,-2,0
"3",1.69721500684271,5.5,-2,0
"4",1.74207578789548,5.75,-2,0
"5",1.78500171742625,6,-2,0
"6",1.82615375573478,6.25,-2,0
"7",1.86567343056617,6.5,-2,0
"8",1.90368587343714,6.75,-2,0
"9",1.94030227844496,7,-2,0
"10",1.97562191232887,7.25,-2,0
"11",2.0097337717372,7.5,-2,0
"12",2.04271796022266,7.75,-2,0
"13",2.07464684047231,8,-2,0
"14",2.10558600473662,8.25,-2,0
"15",2.13559509705303,8.5,-2,0
"16",2.16472851377811,8.75,-2,0
"17",2.19303600353154,9,-2,0
"18",2.22056318348004,9.25,-2,0
"19",2.24735198563876,9.5,-2,0
"20",2.27344104431568,9.75,-2,0
"21",2.29886603380548,10,-2,0
"22",1.60199979405696,5,-1.8,0
"23",1.65123051251086,5.25,-1.8,0
"24",1.69814117102862,5.5,-1.8,0
"25",1.74294178354432,5.75,-1.8,0
"26",1.78581488682908,6,-1.8,0
"27",1.82692017428881,6.25,-1.8,0
"28",1.86639818243183,6.5,-1.8,0
"29",1.90437325607937,6.75,-1.8,0
"30",1.94095595699751,7,-1.8,0
"31",1.97624503786339,7.25,-1.8,0
"32",2.0103290731139,7.5,-1.8,0
"33",2.04328781630179,7.75,-1.8,0
"34",2.07519333751936,8,-1.8,0
"35",2.10611098252094,8.25,-1.8,0
"36",2.13610018621128,8.5,-1.8,0
"37",2.16521516635631,8.75,-1.8,0
"38",2.19350551814765,9,-1.8,0
"39",2.22101672620545,9.25,-1.8,0
"40",2.24779060744405,9.5,-1.8,0
"41",2.27386569573736,9.75,-1.8,0
"42",2.29927757734865,10,-1.8,0
"43",1.60301020442057,5,-1.6,0
"44",1.65216972812005,5.25,-1.6,0
"45",1.69901856658671,5.5,-1.6,0
"46",1.74376499613315,5.75,-1.6,0
"47",1.78659022042299,6,-1.6,0
"48",1.82765289301249,6.25,-1.6,0
"49",1.86709272737184,6.5,-1.6,0
"50",1.90503340838096,6.75,-1.6,0
"51",1.9415849624639,7,-1.6,0
"52",1.97684570347145,7.25,-1.6,0
"53",2.01090384271509,7.5,-1.6,0
"54",2.04383883067281,7.75,-1.6,0
"55",2.07572248249127,8,-1.6,0
"56",2.10661992791861,8.25,-1.6,0
"57",2.13659041763139,8.5,-1.6,0
"58",2.16568801130846,8.75,-1.6,0
"59",2.19396216771745,9,-1.6,0
"60",2.22145825312957,9.25,-1.6,0
"61",2.2482179812876,9.5,-1.6,0
"62",2.27427979571381,9.75,-1.6,0
"63",2.2996792032083,10,-1.6,0
"64",1.60396284465123,5,-1.4,0
"65",1.65305882779847,5.25,-1.4,0
"66",1.69985207359629,5.5,-1.4,0
"67",1.74454945464745,5.75,-1.4,0
"68",1.7873310831325,6,-1.4,0
"69",1.82835475110166,6.25,-1.4,0
"70",1.86775948294874,6.5,-1.4,0
"71",1.90566840581816,6.75,-1.4,0
"72",1.94219108986674,7,-1.4,0
"73",1.97742547207287,7.25,-1.4,0
"74",2.01145944971955,7.5,-1.4,0
"75",2.04437220952424,7.75,-1.4,0
"76",2.07623534346904,8,-1.4,0
"77",2.10711379121205,8.25,-1.4,0
"78",2.13706664050545,8.5,-1.4,0
"79",2.16614781058378,8.75,-1.4,0
"80",2.19440663850215,9,-1.4,0
"81",2.22188838452883,9.25,-1.4,0
"82",2.24863466965769,9.5,-1.4,0
"83",2.27468385590731,9.75,-1.4,0
"84",2.30007137816514,10,-1.4,0
"85",1.60486396500574,5,-1.2,0
"86",1.65390289001211,5.25,-1.2,0
"87",1.70064587441278,5.5,-1.2,0
"88",1.74529864444515,5.75,-1.2,0
"89",1.78804041003948,6,-1.2,0
"90",1.82902824340729,6.25,-1.2,0
"91",1.8684005876292,6.5,-1.2,0
"92",1.90628009526567,6.75,-1.2,0
"93",1.94277594519693,7,-1.2,0
"94",1.97798574891952,7.25,-1.2,0
"95",2.01199713075652,7.5,-1.2,0
"96",2.04488904680329,7.75,-1.2,0
"97",2.07673289285487,8,-1.2,0
"98",2.10759344062122,8.25,-1.2,0
"99",2.13752963324057,8.5,-1.2,0
"100",2.16659526475105,8.75,-1.2,0
"101",2.19483956327554,9,-1.2,0
"102",2.2223076938561,9.25,-1.2,0
"103",2.24904119387643,9.5,-1.2,0
"104",2.27507835164207,9.75,-1.2,0
"105",2.30045453680221,10,-1.2,0
"106",1.60571885324553,5,-1,0
"107",1.65470625837575,5.25,-1,0
"108",1.70140358064739,5.5,-1,0
"109",1.74601560086321,5.75,-1,0
"110",1.78872077661482,6,-1,0
"111",1.82967557396256,6.25,-1,0
"112",1.86901794215721,6.5,-1,0
"113",1.90687012738319,6.75,-1,0
"114",1.94334097105819,7,-1,0
"115",1.97852780211461,7.25,-1,0
