"","ld","Var1","Var2","Var3"
"1",96.4585269788681,5,-2,0
"2",99.3977346541715,5.25,-2,0
"3",102.198875707419,5.5,-2,0
"4",104.87443830102,5.75,-2,0
"5",107.435272490551,6,-2,0
"6",109.890868411002,6.25,-2,0
"7",112.249576880607,6.5,-2,0
"8",114.518786423547,6.75,-2,0
"9",116.705066812174,7,-2,0
"10",118.814286551191,7.25,-2,0
"11",120.851709845692,7.5,-2,0
"12",122.822077249086,7.75,-2,0
"13",124.729673207485,8,-2,0
"14",126.578382993823,8.25,-2,0
"15",128.371740983795,8.5,-2,0
"16",130.112971816057,8.75,-2,0
"17",131.805025665649,9,-2,0
"18",133.450608617479,9.25,-2,0
"19",135.052208937914,9.5,-2,0
"20",136.612119894201,9.75,-2,0
"21",138.132459653945,10,-2,0
"22",96.4822611998217,5,-1.8,0
"23",99.4186720591584,5.25,-1.8,0
"24",102.217489350176,5.5,-1.8,0
"25",104.891099097669,5.75,-1.8,0
"26",107.450275626665,6,-1.8,0
"27",109.904451894753,6.25,-1.8,0
"28",112.261934856516,6.5,-1.8,0
"29",114.530078906222,6.75,-1.8,0
"30",116.715426921609,7,-1.8,0
"31",118.823825971267,7.25,-1.8,0
"32",120.860522997623,7.5,-1.8,0
"33",122.83024452119,7.75,-1.8,0
"34",124.737263482361,8,-1.8,0
"35",126.585455645797,8.25,-1.8,0
"36",128.378347472368,8.5,-1.8,0
"37",130.119156967949,8.75,-1.8,0
"38",131.810828714475,9,-1.8,0
"39",133.456064053075,9.25,-1.8,0
"40",135.0573472049,9.5,-1.8,0
"41",136.616967970219,9.75,-1.8,0
"42",138.137041531146,10,-1.8,0
"43",96.5022553321492,5,-1.6,0
"44",99.4363870728611,5.25,-1.6,0
"45",102.233297690859,5.5,-1.6,0
"46",104.905295568745,5.75,-1.6,0
"47",107.463096766839,6,-1.6,0
"48",109.916089791502,6.25,-1.6,0
"49",112.272547184473,6.5,-1.6,0
"50",114.539796347849,6.75,-1.6,0
"51",116.724358737204,7,-1.6,0
"52",118.832064237737,7.25,-1.6,0
"53",120.868145874569,7.5,-1.6,0
"54",122.837318796178,7.75,-1.6,0
"55",124.743846575092,8,-1.6,0
"56",126.591597201276,8.25,-1.6,0
"57",128.384090638476,8.5,-1.6,0
"58",130.124539428275,8.75,-1.6,0
"59",131.815883529573,9,-1.6,0
"60",133.460820350476,9.25,-1.6,0
"61",135.061830748778,9.5,-1.6,0
"62",136.621201634556,9.75,-1.6,0
"63",138.141045695009,10,-1.6,0
"64",96.5189241267124,5,-1.4,0
"65",99.4512132093681,5.25,-1.4,0
"66",102.246572921188,5.5,-1.4,0
"67",104.917252748352,5.75,-1.4,0
"68",107.473924085884,6,-1.4,0
"69",109.925941049512,6.25,-1.4,0
"70",112.281549340535,6.5,-1.4,0
"71",114.548055156899,6.75,-1.4,0
"72",116.731963017621,7,-1.4,0
"73",118.839089144312,7.25,-1.4,0
"74",120.874655438078,7.5,-1.4,0
"75",122.843367914992,7.75,-1.4,0
"76",124.749482592381,8,-1.4,0
"77",126.596861165313,8.25,-1.4,0
"78",128.389018318127,8.5,-1.4,0
"79",130.129162137537,8.75,-1.4,0
"80",131.820228801895,9,-1.4,0
"81",133.464912493905,9.25,-1.4,0
"82",135.065691305869,9.5,-1.4,0
"83",136.624849765602,9.75,-1.4,0
"84",138.144498499137,10,-1.4,0
"85",96.5326165111331,5,-1.2,0
"86",99.4634343900975,5.25,-1.2,0
"87",102.257549159307,5.5,-1.2,0
"88",104.927165955587,5.75,-1.2,0
"89",107.482922227986,6,-1.2,0
"90",109.934145741648,6.25,-1.2,0
"91",112.289061483729,6.5,-1.2,0
"92",114.554959182466,6.75,-1.2,0
"93",116.738330125969,7,-1.2,0
"94",118.844979806252,7.25,-1.2,0
"95",120.880121347902,7.5,-1.2,0
"96",122.84845353089,7.75,-1.2,0
"97",124.754226362682,8,-1.2,0
"98",126.601296513009,8.25,-1.2,0
"99",128.393174437605,8.5,-1.2,0
"100",130.133064644111,8.75,-1.2,0
"101",131.823900264955,9,-1.2,0
"102",133.46837287737,9.25,-1.2,0
"103",135.068958334226,9.5,-1.2,0
