"","ld","Var1","Var2","Var3"
"1",-26.3718098877949,-2,0,5
"2",-26.3480756668413,-1.8,0,5
"3",-26.3280815345138,-1.6,0,5
"4",-26.3114127399507,-1.4,0,5
"5",-26.2977203555299,-1.2,0,5
"6",-26.2867080463148,-1,0,5
"7",-26.278122005251,-0.8,0,5
"8",-26.2717431864946,-0.6,0,5
"9",-26.2673812345867,-0.4,0,5
"10",-26.2648696836613,-0.2,0,5
"11",-26.264062120617,0,0,5
"12",-26.2648290889241,0.2,0,5
"13",-26.2670555678639,0.4,0,5
"14",-26.2706389034538,0.6,0,5
"15",-26.2754870972839,0.8,0,5
"16",-26.2815173814503,1,0,5
"17",-26.2886550240363,1.2,0,5
"18",-26.2968323217826,1.4,0,5
"19",-26.3059877458138,1.6,0,5
"20",-26.3160652133352,1.8,0,5
"21",-26.3270134636455,2,0,5
"22",-26.384118357963,-2,0.1,5
"23",-26.3605332915285,-1.8,0.1,5
"24",-26.3403123841578,-1.6,0.1,5
"25",-26.3218571516322,-1.4,0.1,5
"26",-26.3093702728397,-1.2,0.1,5
"27",-26.2994220589883,-1,0.1,5
"28",-26.2901066964982,-0.8,0.1,5
"29",-26.2839052893031,-0.6,0.1,5
"30",-26.2786916531748,-0.4,0.1,5
"31",-26.2764998287435,-0.2,0.1,5
"32",-26.2751763851888,0,0.1,5
"33",-26.2773423073304,0.2,0.1,5
"34",-26.2784612564569,0.4,0.1,5
"35",-26.2822010722693,0.6,0.1,5
"36",-26.2865863419459,0.8,0.1,5
"37",-26.2934643029372,1,0.1,5
"38",-26.3001446605616,1.2,0.1,5
"39",-26.3095353708926,1.4,0.1,5
"40",-26.3176826620565,1.6,0.1,5
"41",-26.326775975998,1.8,0.1,5
"42",-26.3378622193765,2,0.1,5
"43",-26.4270521486561,-2,0.2,5
"44",-26.3890893995797,-1.8,0.2,5
"45",-26.375595419291,-1.6,0.2,5
"46",-26.3535643993043,-1.4,0.2,5
"47",-26.3453215221807,-1.2,0.2,5
"48",-26.3341056701198,-1,0.2,5
"49",-26.3270015777592,-0.8,0.2,5
"50",-26.3205914718009,-0.6,0.2,5
"51",-26.3128992770654,-0.4,0.2,5
"52",-26.3116482198523,-0.2,0.2,5
"53",-26.3081549860786,0,0.2,5
"54",-26.3127560348844,0.2,0.2,5
"55",-26.3161216673026,0.4,0.2,5
"56",-26.3197871702334,0.6,0.2,5
"57",-26.3242670469564,0.8,0.2,5
"58",-26.3315451834098,1,0.2,5
"59",-26.3367172859737,1.2,0.2,5
"60",-26.3438898247391,1.4,0.2,5
"61",-26.3507856722404,1.6,0.2,5
"62",-26.3660121771573,1.8,0.2,5
"63",-26.3760562788058,2,0.2,5
"64",-26.4853395966669,-2,0.3,5
"65",-26.4613709748831,-1.8,0.3,5
"66",-26.4413161824947,-1.6,0.3,5
"67",-26.4205354743992,-1.4,0.3,5
"68",-26.3947414622463,-1.2,0.3,5
"69",-26.3939036413695,-1,0.3,5
"70",-26.3778137619344,-0.8,0.3,5
"71",-26.3763396694022,-0.6,0.3,5
"72",-26.3723937668651,-0.4,0.3,5
"73",-26.369806088396,-0.2,0.3,5
"74",-26.3772546207187,0,0.3,5
"75",-26.3669947309939,0.2,0.3,5
"76",-26.3757921144044,0.4,0.3,5
"77",-26.3792247636136,0.6,0.3,5
"78",-26.3792642185823,0.8,0.3,5
"79",-26.3876074559813,1,0.3,5
"80",-26.392817358932,1.2,0.3,5
"81",-26.3965866245138,1.4,0.3,5
"82",-26.4144958571921,1.6,0.3,5
"83",-26.4228326097512,1.8,0.3,5
"84",-26.4310468285499,2,0.3,5
"85",-26.5508809746211,-2,0.4,5
"86",-26.5397355535029,-1.8,0.4,5
"87",-26.5306725033262,-1.6,0.4,5
"88",-26.5095001066065,-1.4,0.4,5
"89",-26.4847801033863,-1.2,0.4,5
"90",-26.4776742988794,-1,0.4,5
"91",-26.4746994078243,-0.8,0.4,5
"92",-26.4584742391656,-0.6,0.4,5
"93",-26.4647863520583,-0.4,0.4,5
"94",-26.4482896923327,-0.2,0.4,5
"95",-26.4458469788331,0,0.4,5
"96",-26.4512137278709,0.2,0.4,5
"97",-26.4613534608887,0.4,0.4,5
"98",-26.465047416922,0.6,0.4,5
"99",-26.4630123848703,0.8,0.4,5
"100",-26.4690856335159,1,0.4,5
"101",-26.4656496582401,1.2,0.4,5
