"","ld2","Var1","Var2","Var3"
"1",110.930555450955,0.1,0,5
"2",121.003214990403,0.2,0,5
"3",127.985135081641,0.3,0,5
"4",132.956824438692,0.4,0,5
"5",136.430399208122,0.5,0,5
"6",138.706606745133,0.6,0,5
"7",139.983339266001,0.7,0,5
"8",140.400450624546,0.8,0,5
"9",140.061644966578,0.9,0,5
"10",139.046659202807,1,0,5
"11",109.321117538521,0.1,0.2,5
"12",119.393777077969,0.2,0.2,5
"13",126.375697169206,0.3,0.2,5
"14",131.347386526258,0.4,0.2,5
"15",134.820961295687,0.5,0.2,5
"16",137.097168832699,0.6,0.2,5
"17",138.373901353567,0.7,0.2,5
"18",138.791012712112,0.8,0.2,5
"19",138.452207054144,0.9,0.2,5
"20",137.437221290373,1,0.2,5
"21",110.01426471908,0.1,0.4,5
"22",120.086924258529,0.2,0.4,5
"23",127.068844349766,0.3,0.4,5
"24",132.040533706818,0.4,0.4,5
"25",135.514108476247,0.5,0.4,5
"26",137.790316013259,0.6,0.4,5
"27",139.067048534127,0.7,0.4,5
"28",139.484159892672,0.8,0.4,5
"29",139.145354234704,0.9,0.4,5
"30",138.130368470933,1,0.4,5
"31",110.419729827189,0.1,0.6,5
"32",120.492389366637,0.2,0.6,5
"33",127.474309457875,0.3,0.6,5
"34",132.445998814926,0.4,0.6,5
"35",135.919573584356,0.5,0.6,5
"36",138.195781121367,0.6,0.6,5
"37",139.472513642235,0.7,0.6,5
"38",139.88962500078,0.8,0.6,5
"39",139.550819342812,0.9,0.6,5
"40",138.535833579041,1,0.6,5
"41",110.70741189964,0.1,0.8,5
"42",120.780071439089,0.2,0.8,5
"43",127.761991530326,0.3,0.8,5
"44",132.733680887378,0.4,0.8,5
"45",136.207255656807,0.5,0.8,5
"46",138.483463193819,0.6,0.8,5
"47",139.760195714687,0.7,0.8,5
"48",140.177307073232,0.8,0.8,5
"49",139.838501415264,0.9,0.8,5
"50",138.823515651493,1,0.8,5
"51",110.930555450955,0.1,1,5
"52",121.003214990403,0.2,1,5
"53",127.985135081641,0.3,1,5
"54",132.956824438692,0.4,1,5
"55",136.430399208122,0.5,1,5
"56",138.706606745133,0.6,1,5
"57",139.983339266001,0.7,1,5
"58",140.400450624546,0.8,1,5
"59",140.061644966578,0.9,1,5
"60",139.046659202807,1,1,5
"61",111.112877007749,0.1,1.2,5
"62",121.185536547197,0.2,1.2,5
"63",128.167456638434,0.3,1.2,5
"64",133.139145995486,0.4,1.2,5
"65",136.612720764915,0.5,1.2,5
"66",138.888928301927,0.6,1.2,5
"67",140.165660822795,0.7,1.2,5
"68",140.58277218134,0.8,1.2,5
"69",140.243966523372,0.9,1.2,5
"70",139.228980759601,1,1.2,5
"71",111.267027687576,0.1,1.4,5
"72",121.339687227024,0.2,1.4,5
"73",128.321607318262,0.3,1.4,5
"74",133.293296675314,0.4,1.4,5
"75",136.766871444743,0.5,1.4,5
"76",139.043078981754,0.6,1.4,5
"77",140.319811502622,0.7,1.4,5
"78",140.736922861167,0.8,1.4,5
"79",140.398117203199,0.9,1.4,5
"80",139.383131439429,1,1.4,5
"81",111.4005590802,0.1,1.6,5
"82",121.473218619649,0.2,1.6,5
"83",128.455138710886,0.3,1.6,5
"84",133.426828067938,0.4,1.6,5
"85",136.900402837367,0.5,1.6,5
"86",139.176610374379,0.6,1.6,5
"87",140.453342895247,0.7,1.6,5
"88",140.870454253792,0.8,1.6,5
"89",140.531648595824,0.9,1.6,5
"90",139.516662832053,1,1.6,5
"91",111.518342115857,0.1,1.8,5
"92",121.591001655305,0.2,1.8,5
"93",128.572921746543,0.3,1.8,5
"94",133.544611103594,0.4,1.8,5
"95",137.018185873024,0.5,1.8,5
"96",139.294393410035,0.6,1.8,5
"97",140.571125930903,0.7,1.8,5
"98",140.988237289448,0.8,1.8,5
"99",140.64943163148,0.9,1.8,5
"100",139.63444586771,1,1.8,5
"101",111.623702631515,0.1,2,5
"102",121.696362170963,0.2,2,5
"103",128.6782822622,0.3,2,5
"104",133.649971619252,0.4,2,5
"105",137.123546388681,0.5,2,5
"106",139.399753925693,0.6,2,5
"107",140.676486446561,0.7,2,5
"108",141.093597805106,0.8,2,5
"109",140.754792147138,0.9,2,5
"110",139.739806383367,1,2,5
"111",111.218444880727,0.1,0,5.25
"112",121.579159453826,0.2,0,5.25
"113",128.849469970692,0.3,0,5.25
"114",134.110063301895,0.4,0,5.25
"115",137.873249578613,0.5,0,5.25
"116",140.4399855123,0.6,0,5.25
"117",142.008400830742,0.7,0,5.25
"118",142.718619135912,0.8,0,5.25
"119",142.674717379127,0.9,0,5.25
"120",141.956662546844,1,0,5.25
"121",109.609006968293,0.1,0.2,5.25
"122",119.969721541391,0.2,0.2,5.25
"123",127.240032058258,0.3,0.2,5.25
"124",132.500625389461,0.4,0.2,5.25
"125",136.263811666179,0.5,0.2,5.25
"126",138.830547599866,0.6,0.2,5.25
"127",140.398962918308,0.7,0.2,5.25
"128",141.109181223478,0.8,0.2,5.25
"129",141.065279466693,0.9,0.2,5.25
"130",140.34722463441,1,0.2,5.25
