"","ld","Var1","Var2","Var3"
"1",-26.3718098877949,0,-2,5
"2",-26.3832574886203,0.1,-2,5
"3",-26.4181522987836,0.2,-2,5
"4",-26.5027030620547,0.3,-2,5
"5",-26.5626773023581,0.4,-2,5
"6",-26.6432115930026,0.5,-2,5
"7",-26.820900639331,0.6,-2,5
"8",-26.9902196225555,0.7,-2,5
"9",-27.1487367346305,0.8,-2,5
"10",-27.3635788102678,0.9,-2,5
"11",-27.6547779054915,1,-2,5
"12",-26.3480756668413,0,-1.8,5
"13",-26.3594856081669,0.1,-1.8,5
"14",-26.3910915006252,0.2,-1.8,5
"15",-26.4533902791065,0.3,-1.8,5
"16",-26.5454665159206,0.4,-1.8,5
"17",-26.6635189492747,0.5,-1.8,5
"18",-26.7869308490639,0.6,-1.8,5
"19",-26.8937202461809,0.7,-1.8,5
"20",-27.1267301373132,0.8,-1.8,5
"21",-27.3440035000881,0.9,-1.8,5
"22",-27.5971071086392,1,-1.8,5
"23",-26.3280815345138,0,-1.6,5
"24",-26.3396998290616,0.1,-1.6,5
"25",-26.3762995719257,0.2,-1.6,5
"26",-26.4321346695636,0.3,-1.6,5
"27",-26.524312742031,0.4,-1.6,5
"28",-26.6146126495864,0.5,-1.6,5
"29",-26.743900675542,0.6,-1.6,5
"30",-26.9099384069501,0.7,-1.6,5
"31",-27.0738266780104,0.8,-1.6,5
"32",-27.2859531731616,0.9,-1.6,5
"33",-27.5755084320818,1,-1.6,5
"34",-26.3114127399507,0,-1.4,5
"35",-26.3236989697295,0.1,-1.4,5
"36",-26.365611837858,0.2,-1.4,5
"37",-26.4129124467793,0.3,-1.4,5
"38",-26.4899362512515,0.4,-1.4,5
"39",-26.6052124241328,0.5,-1.4,5
"40",-26.7435393838636,0.6,-1.4,5
"41",-26.8813688380266,0.7,-1.4,5
"42",-27.073561003948,0.8,-1.4,5
"43",-27.2641963274873,0.9,-1.4,5
"44",-27.5898809693494,1,-1.4,5
"45",-26.2977203555299,0,-1.2,5
"46",-26.3087634403853,0.1,-1.2,5
"47",-26.3472225419548,0.2,-1.2,5
"48",-26.401122023365,0.3,-1.2,5
"49",-26.4759961373203,0.4,-1.2,5
"50",-26.581634452386,0.5,-1.2,5
"51",-26.746962525092,0.6,-1.2,5
"52",-26.9001519415203,0.7,-1.2,5
"53",-27.0864254583732,0.8,-1.2,5
"54",-27.211023254636,0.9,-1.2,5
"55",-27.5847182684874,1,-1.2,5
"56",-26.2867080463148,0,-1,5
"57",-26.2997799401817,0.1,-1,5
"58",-26.3375286160048,0.2,-1,5
"59",-26.3855353223682,0.3,-1,5
"60",-26.4722887493774,0.4,-1,5
"61",-26.5795523727711,0.5,-1,5
"62",-26.7079414304762,0.6,-1,5
"63",-26.8993254395401,0.7,-1,5
"64",-27.0842886196593,0.8,-1,5
