"mu","sigma","d","rho","S","N","mu_est","sigma_est","d_est","rho_est","convergence"
-2,0.1,5,-1,10,10,"-1.9999993637243","0.099999940023891","5.000004658001","-0.999998794640171","0"
-1,0.1,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,0.1,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,0.1,5,-1,10,10,"0.675809823173345","0.313018925947111","5.54501297600699","-0.751120294324342","0"
2,0.1,5,-1,10,10,"1.99999999999443","0.100000000004608","4.99999999999833","-0.999999999999069","0"
-2,1.325,5,-1,10,10,"-2.00004655119773","1.32505047895504","4.99997090550142","-1","0"
-1,1.325,5,-1,10,10,"-1","1.325","5","-1","0"
0,1.325,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,1.325,5,-1,10,10,"5.50000314070187","0.662499537618892","2.49999825516563","-1","0"
2,1.325,5,-1,10,10,"1.99767488693511","1.32668086298649","5.01840714509703","-1","0"
-2,2.55,5,-1,10,10,"-2","2.55","5","-1","0"
-1,2.55,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,2.55,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,2.55,5,-1,10,10,"0.996967556405803","2.55216942551053","5.02750266198467","-1","0"
2,2.55,5,-1,10,10,"2","2.55","5","-1","0"
-2,3.775,5,-1,10,10,"0.965489481799761","5.26450208496506","3.84480347297744","-0.995192174144394","0"
-1,3.775,5,-1,10,10,"-1.00010027326421","3.7749579409364","4.999944292631","-0.999977717052398","0"
0,3.775,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,3.775,5,-1,10,10,"0.995537441579145","3.78420259585679","5.08107895145611","-1","0"
2,3.775,5,-1,10,10,"1.9973311970439","3.77416043907006","5.02112802340243","-0.999555199507317","0"
-2,5,5,-1,10,10,"-2.02240025288911","4.98562754460683","5.26771401618073","-0.994214297333739","0"
-1,5,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,5,5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,5,5,-1,10,10,"1.00179652145196","4.99997880536707","5.01645149345753","-0.99872801696816","0"
2,5,5,-1,10,10,"2.00046372174283","4.99971000985782","5.00551010474699","-1","0"
-2,0.1,6.25,-1,10,10,"-2.00000000078311","0.10000011792538","6.24999982517398","-0.999999943497463","0"
-1,0.1,6.25,-1,10,10,"-1","0.1","6.25","-1","0"
0,0.1,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,0.1,6.25,-1,10,10,"0.999999999967966","0.100000000028831","6.25000000000638","-0.999999999994176","0"
2,0.1,6.25,-1,10,10,"1.99999986857065","0.0999999989047554","6.24999993154721","-1","0"
-2,1.325,6.25,-1,10,10,"-2.00000375223732","1.32500365933881","6.24999767804194","-0.999998210401017","0"
-1,1.325,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,1.325,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,1.325,6.25,-1,10,10,"1","1.325","6.25","-1","0"
2,1.325,6.25,-1,10,10,"1.98956420456366","1.3238477142539","6.33152965184638","-1","0"
-2,2.55,6.25,-1,10,10,"-2.14440960732165","2.62187664013656","6.8409160331048","-0.956574101950848","0"
-1,2.55,6.25,-1,10,10,"-0.824606935436117","2.50934069866928","7.74482725480582","-1","0"
0,2.55,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,2.55,6.25,-1,10,10,"1.05303069056695","2.5349746376727","6.80240302673902","-1","0"
2,2.55,6.25,-1,10,10,"1.99994540802205","2.54998876748189","6.24996690327456","-0.999999949987559","0"
-2,3.775,6.25,-1,10,10,"-2.00001984914177","3.77499063368623","6.24998449285799","-0.999995037714557","0"
-1,3.775,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,3.775,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,3.775,6.25,-1,10,10,"1","3.775","6.25","-1","0"
2,3.775,6.25,-1,10,10,"2.00002750603316","3.77502174636689","6.24997917960746","-0.999993028511205","0"
-2,5,6.25,-1,10,10,"-2","5","6.25","-1","0"
-1,5,6.25,-1,10,10,"-0.999945552269218","5.00002474896854","6.24996906378933","-0.999990100412585","0"
0,5,6.25,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,5,6.25,-1,10,10,"1.00058924432342","4.99967263266571","6.25613799051467","-1","0"
2,5,6.25,-1,10,10,"1.99712905514493","5.04952970023026","6.45602194078118","-0.982005776616531","0"
-2,0.1,7.5,-1,10,10,"-2","0.1","7.5","-1","0"
-1,0.1,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,0.1,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,0.1,7.5,-1,10,10,"0.849621752440743","0.0148186124488409","7.73010501227625","-0.961391729736911","0"
2,0.1,7.5,-1,10,10,"1.23520290399277","0.661505138123504","7.80061271889106","-0.871810943563783","0"
-2,1.325,7.5,-1,10,10,"-1.99999999069246","1.32500000672858","7.50000007174563","-0.999999998448743","0"
-1,1.325,7.5,-1,10,10,"-1","1.325","7.5","-1","0"
0,1.325,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,1.325,7.5,-1,10,10,"0.845975578324268","1.29714971244678","9.0120863447023","-0.907908622771656","0"
2,1.325,7.5,-1,10,10,"1.55167177747294","1.27607784776936","10.9614728354855","-0.999003727283269","0"
-2,2.55,7.5,-1,10,10,"-2.00385108553396","2.5535863234035","7.5445281764864","-1","0"
-1,2.55,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,2.55,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,2.55,7.5,-1,10,10,"0.965928345070536","2.55902943011594","7.57664428076217","-1","0"
2,2.55,7.5,-1,10,10,"2.13778437674585","2.67793410860995","9.08950265649093","-0.999324490034791","0"
-2,3.775,7.5,-1,10,10,"-2.49052362891018","4.25093504948626","4.16841970490396","-1","0"
-1,3.775,7.5,-1,10,10,"-1","3.775","7.5","-1","0"
0,3.775,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,3.775,7.5,-1,10,10,"1.00001621228078","3.77498421027677","7.49998770843747","-0.99999250439689","0"
2,3.775,7.5,-1,10,10,"2.00001388609543","3.77501410292298","7.50001009381418","-0.999988452305113","0"
-2,5,7.5,-1,10,10,"-1.9999338711012","5.00002732233489","7.49995855262618","-0.999989084408966","0"
-1,5,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
0,5,7.5,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,5,7.5,-1,10,10,"0.995442089428314","5.00207177753282","7.53832788437285","-0.999171288988638","0"
2,5,7.5,-1,10,10,"1.9998629092005","4.99995554016092","7.49991673274059","-0.999921409642873","0"
-2,0.1,8.75,-1,10,10,"-4.67773353860341","0.00267169597812911","10.0157536508307","-0.960270270278592","0"
-1,0.1,8.75,-1,10,10,"-0.301844387792141","0.727099725767788","14.4704280784834","-0.999996299750323","0"
0,0.1,8.75,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
1,0.1,8.75,-1,10,10,"1.00000005098268","0.100000062615393","8.75000001390643","-0.999999951893045","0"
2,0.1,8.75,-1,10,10,"2","0.1","8.75","-1","0"
-2,1.325,8.75,-1,10,10,"-1.99788783940689","1.32811911281964","8.75479887870644","-0.99787540211014","0"
-1,1.325,8.75,-1,10,10,"Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
","Error in rmvnorm(N, (mulist/S), inv(A), method = ""svd"") : 
  sigma must be a symmetric matrix
"
