"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
-2,0.1,5,10,10,-2.00000000000001,0.100000000000005,5
-1,0.1,5,10,10,0.309727133417405,0.174022277300476,4.17988095992058
0,0.1,5,10,10,0.227355295861444,0.192947425703058,4.88893795054212
1,0.1,5,10,10,0.0258231558552384,0.202385248470952,5.56189152960954
2,0.1,5,10,10,2.00000000003118,0.100000000038588,4.99999999998051
-2,1.325,5,10,10,-2.00000343057157,1.32499943181158,4.99999785589277
-1,1.325,5,10,10,-0.996919526629302,1.32742937331735,5.02660408820149
0,1.325,5,10,10,-3.49460770674756e-06,1.32500303157219,4.99999825269615
1,1.325,5,10,10,0.999999993917159,1.32500000479715,4.99999999723507
2,1.325,5,10,10,2.00000000116185,1.32500000125989,4.99999999927384
-2,2.55,5,10,10,-1.99997599571897,2.5500149026578,4.99998999821624
-1,2.55,5,10,10,-1,2.55,5
0,2.55,5,10,10,-3.1351180622834e-05,2.55002335662956,4.99998432440969
1,2.55,5,10,10,1.00106792308788,2.55088400300052,5.01127252148318
2,2.55,5,10,10,2,2.55,5
-2,3.775,5,10,10,-2,3.775,5
-1,3.775,5,10,10,-1,3.775,5
0,3.775,5,10,10,0,3.775,5
1,3.775,5,10,10,1,3.775,5
2,3.775,5,10,10,2,3.775,5
-2,5,5,10,10,-2,5,5
-1,5,5,10,10,-1,5,5
0,5,5,10,10,0,5,5
1,5,5,10,10,1,5,5
2,5,5,10,10,2,5,5
-2,0.1,6.25,10,10,-2,0.1,6.25
-1,0.1,6.25,10,10,-6.16860233954254,0.00069990265899009,8.41208311676296
0,0.1,6.25,10,10,4.27152183031537e-13,0.0999999999999749,6.24999999999984
1,0.1,6.25,10,10,1.01033275340494,0.0998794499636533,6.24330532507046
2,0.1,6.25,10,10,1.99999993249322,0.0999999994374435,6.24999996484022
-2,1.325,6.25,10,10,-0.181549794297892,3.06722273476194,19.9942534852973
-1,1.325,6.25,10,10,-1.0000000219018,1.3249999967962,6.25000022811949
0,1.325,6.25,10,10,-8.42796153489999e-11,1.32500000007311,6.24999999994732
1,1.325,6.25,10,10,0.999956360829766,1.32501123290384,6.24998056312734
2,1.325,6.25,10,10,2.00000011547561,1.32500000964,6.24999992348435
-2,2.55,6.25,10,10,-2.02568156159846,2.56577879468946,6.53909948143986
-1,2.55,6.25,10,10,-0.952859739583185,2.46432331955407,6.97404771112518
0,2.55,6.25,10,10,-2.53389850528601e-05,2.55001882044027,6.24998416313434
1,2.55,6.25,10,10,1.00046067663038,2.55038133787737,6.25479871489981
2,2.55,6.25,10,10,2.00038098707614,2.55167742599978,6.25621698133398
-2,3.775,6.25,10,10,-2.04271962499096,3.80824120819609,6.75062060536282
-1,3.775,6.25,10,10,-1.00000000000602,3.77499999999748,6.24999999999582
0,3.775,6.25,10,10,-7.29516346995762e-21,3.775,6.25
1,3.775,6.25,10,10,0.979767958544668,3.78644949618722,6.4224321714943
2,3.775,6.25,10,10,2,3.775,6.25
-2,5,6.25,10,10,-2,5,6.25
-1,5,6.25,10,10,-1,5,6.25
0,5,6.25,10,10,0,5,6.25
1,5,6.25,10,10,1,5,6.25
2,5,6.25,10,10,2,5,6.25
-2,0.1,7.5,10,10,-2,0.1,7.5
-1,0.1,7.5,10,10,-7.02602039672701,0.601441652078801,8.97227426716106
0,0.1,7.5,10,10,0,0.1,7.5
1,0.1,7.5,10,10,1.03066714511017,0.133733859621186,7.62051210878902
2,0.1,7.5,10,10,1.99999989691297,0.0999999991409414,7.4999999355706
-2,1.325,7.5,10,10,-1.9999999998262,1.32500000012565,7.49999999989137
-1,1.325,7.5,10,10,-1.17028394829508,0.331811598778235,17.6418984519065
0,1.325,7.5,10,10,0.32194514182317,1.24160822351469,10.2747274869461
1,1.325,7.5,10,10,2.05164968791465,0.379524670738874,9.24690401018719
2,1.325,7.5,10,10,1.99999978403006,1.32500015612833,7.49999986501808
-2,2.55,7.5,10,10,-1.98786562966683,2.55753342158184,7.59353577131817
-1,2.55,7.5,10,10,-1,2.55,7.5
0,2.55,7.5,10,10,0,2.55,7.5
1,2.55,7.5,10,10,1,2.55,7.5
2,2.55,7.5,10,10,2.05278161274072,2.5331758609389,8.11028739731454
-2,3.775,7.5,10,10,-1.48578895221571,3.61323777455119,11.4637101600039
-1,3.775,7.5,10,10,-0.999974561372225,3.77499117416183,7.49998134491603
0,3.775,7.5,10,10,-0.507336225841837,3.62467963786114,12.1459294252982
1,3.775,7.5,10,10,0.785219532396835,3.87662306137404,9.20725176232264
2,3.775,7.5,10,10,1.53920851427094,3.64854829062307,10.9970289512566
-2,5,7.5,10,10,-1.99999432176763,4.99999763406985,7.50004376970783
-1,5,7.5,10,10,-1.91229404592839,5.50683002551577,16.8763554720418
0,5,7.5,10,10,0,5,7.5
1,5,7.5,10,10,1.00006362828319,4.99992095448146,7.49990518396329
2,5,7.5,10,10,1.97636478517268,4.99015199382195,7.68218811429394
-2,0.1,8.75,10,10,-1.99999999999313,0.100000000005668,8.74999999999499
-1,0.1,8.75,10,10,-0.988533049505058,0.0497759144333678,9.03912274437213
0,0.1,8.75,10,10,4.65368177505975e-08,0.100000037401881,8.74999995606504
1,0.1,8.75,10,10,1,0.1,8.75
2,0.1,8.75,10,10,-0.216370177813478,0.0754868101493636,14.7559016296798
-2,1.325,8.75,10,10,-2.00000016387139,1.32500008994234,8.75000118856405
-1,1.325,8.75,10,10,-1.00000009357865,1.32500000557195,8.74999989189027
0,1.325,8.75,10,10,-0.0111762062366205,1.33474109827619,8.85095952651714
1,1.325,8.75,10,10,0.999996313184407,1.3249995559063,8.74999706730578
2,1.325,8.75,10,10,2.30089151338913,0.652528690881531,9.06866091622991
-2,2.55,8.75,10,10,-2.022957902208,2.5643479538808,8.78515019855531
-1,2.55,8.75,10,10,-0.976406190102368,2.54488402871121,8.93645662815545
0,2.55,8.75,10,10,-0.00671143839389481,2.54748908118353,8.76591146265496
1,2.55,8.75,10,10,1.00002318043093,2.54999343221124,8.74997746346993
2,2.55,8.75,10,10,1.99997305072249,2.54999427327853,8.74998034948515
-2,3.775,8.75,10,10,-1.99999243070242,3.77499671376335,8.74999443558368
-1,3.775,8.75,10,10,-1.30997311796786,3.63185518416158,12.0168314634841
0,3.775,8.75,10,10,0.106780049877877,3.83767341244989,9.59060905798608
1,3.775,8.75,10,10,1,3.775,8.75
2,3.775,8.75,10,10,2.03574089896573,3.78520536423519,8.78517317903926
-2,5,8.75,10,10,-2.0005776553154,4.99963896542788,8.75658888094128
-1,5,8.75,10,10,-0.998831041415208,5.00053134481127,8.74907014658028
0,5,8.75,10,10,5.01003766926541,2.46490571447794,5.71716483942015
1,5,8.75,10,10,0.999998734200083,5.0000005807251,8.74999938925404
2,5,8.75,10,10,2.00000982031641,4.99998960494125,8.74998477229082
-2,0.1,10,10,10,-10,1.73532793141432,14.1221318590756
-1,0.1,10,10,10,-1.00000000000015,0.10000000000011,9.9999999999998
0,0.1,10,10,10,0,0.1,10
1,0.1,10,10,10,1.00000000000021,0.100000000000085,9.99999999999976
2,0.1,10,10,10,1.99999999999541,0.100000000003785,9.99999999999729
-2,1.325,10,10,10,-2.00000000000037,1.3250000000004,10.0000000000042
-1,1.325,10,10,10,0.0759601816059555,1.53420709959972,18.772862815043
0,1.325,10,10,10,0.00507912410457731,1.32914240979098,10.0442147110588
1,1.325,10,10,10,1,1.325,10
2,1.325,10,10,10,2,1.325,10
-2,2.55,10,10,10,-0.729947589086611,2.2801389443389,19.525822565591
-1,2.55,10,10,10,-0.999833649913021,2.55011266437709,10.0013610461662
